area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Under Construction,Bangalore,1 RK,Skyline View,740.96,1,1,24.56
Super built-up Area,Under Construction,Delhi,1 RK,Dream Homes,2277.19,3,3,283.62
Carpet Area,Under Construction,Hyderabad,1 RK,Oceanic Towers,4058.09,3,2,220.17
Plot Area,Ready To Move,Chennai,1 RK,Palm Meadows,3893.77,2,1,140.65
Plot Area,Ready To Move,Mumbai,1 BHK,Green Heights,4005.33,1,0,40.22
Carpet Area,Ready To Move,Hyderabad,4 BHK,Green Heights,766.23,1,2,432.25
Carpet Area,Under Construction,Pune,2 BHK,Luxury Enclave,2868.96,1,0,73.94
Super built-up Area,Under Construction,Mumbai,2 BHK,Sunrise Residency,4896.66,3,0,14.59
Built-up Area,Ready To Move,Delhi,1 BHK,Dream Homes,323.63,2,3,56.75
Built-up Area,Immediate Possession,Kolkata,2 RK,Oceanic Towers,4720.13,1,0,280.45
Carpet Area,Ready To Move,Mumbai,1 RK,Palm Meadows,3652.79,2,2,431.81
Plot Area,Under Construction,Mumbai,4 BHK,Skyline View,603.89,1,0,207.07
Carpet Area,Ready To Move,Hyderabad,3 BHK,Luxury Enclave,4002.58,4,1,95.26
Plot Area,Under Construction,Mumbai,2 BHK,Oceanic Towers,3770.45,4,2,300.08
Built-up Area,Ready To Move,Pune,2 RK,Skyline View,2768.29,4,2,176.63
Carpet Area,Immediate Possession,Pune,2 BHK,Green Heights,1282.05,1,1,53.73
Plot Area,Ready To Move,Hyderabad,1 RK,Dream Homes,1203.89,4,2,39.97
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Sunrise Residency,1369.31,1,1,18.76
Built-up Area,Ready To Move,Ahmedabad,3 BHK,Oceanic Towers,2520.34,2,0,435.19
Carpet Area,Ready To Move,Ahmedabad,1 BHK,Luxury Enclave,462.08,2,3,83.57
Carpet Area,Under Construction,Pune,3 BHK,Oceanic Towers,820.36,2,2,308.16
Built-up Area,Ready To Move,Hyderabad,3 BHK,Palm Meadows,2967.35,4,1,181.62
Super built-up Area,Ready To Move,Mumbai,1 BHK,Palm Meadows,4974.78,1,2,317.3
Carpet Area,Immediate Possession,Pune,1 BHK,Green Heights,3335.67,2,3,295.54
Carpet Area,Ready To Move,Pune,1 RK,Skyline View,1944.81,3,2,155.87
Built-up Area,Ready To Move,Delhi,3 BHK,Dream Homes,1781.92,2,1,77.56
Super built-up Area,Immediate Possession,Kolkata,4 BHK,Luxury Enclave,1665.07,1,3,316.32
Carpet Area,Immediate Possession,Kolkata,2 BHK,Green Heights,1766.3,2,0,198.27
Built-up Area,Immediate Possession,Delhi,3 BHK,Dream Homes,3925.49,3,3,340.19
Plot Area,Under Construction,Chennai,3 BHK,Skyline View,2671.71,1,0,227.02
Built-up Area,Under Construction,Kolkata,1 BHK,Luxury Enclave,4970.58,4,3,335.57
Super built-up Area,Ready To Move,Delhi,2 RK,Skyline View,1908.74,2,1,349.09
Carpet Area,Under Construction,Mumbai,1 BHK,Palm Meadows,2001.86,1,1,111.14
Carpet Area,Immediate Possession,Mumbai,3 BHK,Palm Meadows,4098.0,1,2,33.56
Super built-up Area,Immediate Possession,Delhi,1 BHK,Sunrise Residency,4972.01,3,0,24.92
Built-up Area,Ready To Move,Hyderabad,1 BHK,Luxury Enclave,1251.49,4,2,382.63
Super built-up Area,Under Construction,Mumbai,1 RK,Sunrise Residency,1299.68,2,3,418.48
Plot Area,Immediate Possession,Kolkata,2 BHK,Green Heights,2564.85,4,3,400.74
Plot Area,Immediate Possession,Hyderabad,2 BHK,Green Heights,4619.8,4,1,340.84
Built-up Area,Under Construction,Delhi,2 RK,Dream Homes,2828.84,4,1,272.66
Super built-up Area,Under Construction,Chennai,1 RK,Oceanic Towers,3887.1,4,2,123.55
Plot Area,Immediate Possession,Hyderabad,3 BHK,Oceanic Towers,3992.99,1,2,404.18
Carpet Area,Under Construction,Chennai,3 BHK,Dream Homes,1110.82,3,2,407.71
Plot Area,Ready To Move,Pune,4 BHK,Palm Meadows,4484.74,4,2,433.24
Carpet Area,Under Construction,Bangalore,4 BHK,Luxury Enclave,395.33,4,1,488.63
Super built-up Area,Immediate Possession,Delhi,2 BHK,Luxury Enclave,1877.56,4,0,395.9
Carpet Area,Under Construction,Mumbai,2 BHK,Sunrise Residency,1759.67,1,2,17.09
Plot Area,Ready To Move,Delhi,1 RK,Dream Homes,4368.58,1,3,353.2
Super built-up Area,Immediate Possession,Delhi,4 BHK,Dream Homes,322.49,2,3,370.76
Plot Area,Under Construction,Hyderabad,1 BHK,Skyline View,2260.87,4,2,247.98
Super built-up Area,Immediate Possession,Mumbai,4 BHK,Skyline View,4045.07,4,3,242.06
Carpet Area,Immediate Possession,Kolkata,2 RK,Luxury Enclave,4998.31,4,0,254.26
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Green Heights,820.39,2,2,499.54
Super built-up Area,Immediate Possession,Chennai,1 RK,Oceanic Towers,4550.66,2,3,182.31
Built-up Area,Immediate Possession,Mumbai,4 BHK,Sunrise Residency,1989.84,2,2,389.34
Built-up Area,Under Construction,Chennai,2 BHK,Sunrise Residency,1961.53,3,3,35.73
Plot Area,Ready To Move,Ahmedabad,2 RK,Skyline View,4173.82,1,3,450.85
Plot Area,Under Construction,Bangalore,4 BHK,Dream Homes,3340.7,2,2,97.66
Plot Area,Under Construction,Ahmedabad,2 RK,Sunrise Residency,1009.42,1,2,65.75
Built-up Area,Immediate Possession,Delhi,3 BHK,Luxury Enclave,3167.4,4,2,314.52
Carpet Area,Immediate Possession,Mumbai,2 BHK,Green Heights,3907.02,4,2,328.15
Carpet Area,Ready To Move,Hyderabad,2 RK,Sunrise Residency,649.89,1,0,289.06
Built-up Area,Ready To Move,Hyderabad,2 BHK,Dream Homes,1475.93,4,1,137.2
Carpet Area,Immediate Possession,Kolkata,3 BHK,Skyline View,2572.13,4,1,236.8
Super built-up Area,Ready To Move,Delhi,2 BHK,Green Heights,3667.24,1,0,238.14
Built-up Area,Ready To Move,Pune,4 BHK,Green Heights,2037.09,2,2,80.22
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Palm Meadows,1466.14,1,2,452.62
Plot Area,Immediate Possession,Kolkata,3 BHK,Luxury Enclave,571.26,2,1,258.65
Built-up Area,Ready To Move,Bangalore,1 RK,Green Heights,966.32,1,1,413.96
Carpet Area,Ready To Move,Mumbai,4 BHK,Sunrise Residency,4367.64,3,2,371.33
Super built-up Area,Ready To Move,Bangalore,2 RK,Sunrise Residency,3893.46,4,1,212.49
Carpet Area,Immediate Possession,Delhi,4 BHK,Sunrise Residency,3981.76,1,1,184.05
Built-up Area,Immediate Possession,Mumbai,2 RK,Dream Homes,3009.59,3,0,54.34
Carpet Area,Immediate Possession,Mumbai,3 BHK,Green Heights,2926.64,4,0,83.25
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Palm Meadows,917.78,4,2,449.86
Built-up Area,Immediate Possession,Hyderabad,2 RK,Green Heights,2440.38,3,0,414.75
Built-up Area,Under Construction,Mumbai,4 BHK,Skyline View,4396.35,1,1,393.75
Plot Area,Immediate Possession,Hyderabad,2 BHK,Palm Meadows,1978.42,2,2,349.22
Plot Area,Ready To Move,Mumbai,4 BHK,Palm Meadows,3034.74,3,0,499.46
Plot Area,Immediate Possession,Hyderabad,1 RK,Luxury Enclave,911.78,3,1,139.37
Built-up Area,Ready To Move,Delhi,2 BHK,Luxury Enclave,3576.6,1,0,340.68
Super built-up Area,Immediate Possession,Delhi,3 BHK,Luxury Enclave,4232.98,4,0,144.11
Built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,415.14,3,1,381.77
Built-up Area,Under Construction,Hyderabad,1 RK,Dream Homes,4761.63,1,3,192.9
Carpet Area,Under Construction,Chennai,1 RK,Luxury Enclave,1926.67,2,1,139.07
Carpet Area,Immediate Possession,Chennai,3 BHK,Green Heights,3642.29,3,1,308.19
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Dream Homes,3041.35,1,0,430.82
Super built-up Area,Immediate Possession,Bangalore,2 BHK,Oceanic Towers,4270.79,1,1,288.89
Plot Area,Immediate Possession,Bangalore,3 BHK,Palm Meadows,4934.54,3,0,184.45
Carpet Area,Immediate Possession,Hyderabad,1 BHK,Luxury Enclave,1879.7,3,0,396.26
Plot Area,Ready To Move,Delhi,4 BHK,Sunrise Residency,1368.13,2,3,437.61
Plot Area,Under Construction,Bangalore,1 BHK,Dream Homes,4227.74,4,2,189.65
Carpet Area,Under Construction,Mumbai,2 RK,Luxury Enclave,4464.59,4,2,32.64
Built-up Area,Under Construction,Mumbai,1 RK,Palm Meadows,1635.04,1,0,153.43
Super built-up Area,Immediate Possession,Kolkata,1 RK,Palm Meadows,2539.66,3,1,365.41
Built-up Area,Ready To Move,Hyderabad,4 BHK,Palm Meadows,3220.57,3,2,378.45
Built-up Area,Ready To Move,Kolkata,2 RK,Oceanic Towers,1414.3,3,0,242.46
Super built-up Area,Ready To Move,Mumbai,2 BHK,Sunrise Residency,2958.14,3,0,368.24
Super built-up Area,Ready To Move,Pune,1 BHK,Palm Meadows,4262.62,1,3,299.26
Built-up Area,Under Construction,Mumbai,2 BHK,Dream Homes,3410.75,4,1,238.07
Plot Area,Ready To Move,Pune,3 BHK,Skyline View,1894.54,2,3,331.46
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Sunrise Residency,2313.11,2,1,111.01
Carpet Area,Immediate Possession,Pune,1 RK,Luxury Enclave,1268.42,1,3,454.67
Carpet Area,Under Construction,Delhi,1 RK,Oceanic Towers,869.92,1,2,56.79
Plot Area,Immediate Possession,Ahmedabad,4 BHK,Palm Meadows,4316.67,1,2,88.81
Plot Area,Ready To Move,Mumbai,2 BHK,Dream Homes,4045.11,4,1,288.84
Carpet Area,Immediate Possession,Mumbai,1 BHK,Oceanic Towers,615.09,4,0,326.45
Carpet Area,Immediate Possession,Ahmedabad,1 BHK,Palm Meadows,613.17,4,3,94.98
Plot Area,Under Construction,Delhi,2 RK,Oceanic Towers,3791.51,4,0,443.52
Super built-up Area,Ready To Move,Hyderabad,1 RK,Palm Meadows,3308.96,1,1,209.9
Carpet Area,Ready To Move,Hyderabad,4 BHK,Skyline View,1929.69,3,3,223.6
Carpet Area,Immediate Possession,Hyderabad,1 BHK,Sunrise Residency,1641.32,4,2,431.94
Built-up Area,Under Construction,Delhi,1 RK,Dream Homes,3042.96,4,3,388.48
Built-up Area,Ready To Move,Kolkata,1 RK,Oceanic Towers,2015.13,2,3,259.84
Built-up Area,Ready To Move,Kolkata,4 BHK,Skyline View,732.3,2,3,392.75
Carpet Area,Ready To Move,Delhi,2 BHK,Dream Homes,3170.88,1,0,358.96
Super built-up Area,Immediate Possession,Bangalore,4 BHK,Dream Homes,3395.59,2,3,146.91
Plot Area,Under Construction,Kolkata,2 RK,Luxury Enclave,2633.15,3,1,47.3
Built-up Area,Immediate Possession,Delhi,2 RK,Green Heights,558.33,4,0,254.03
Plot Area,Under Construction,Mumbai,3 BHK,Oceanic Towers,1316.1,2,3,216.75
Carpet Area,Ready To Move,Kolkata,1 BHK,Palm Meadows,1852.01,3,3,145.36
Carpet Area,Immediate Possession,Bangalore,3 BHK,Sunrise Residency,4295.42,2,0,128.64
Plot Area,Under Construction,Pune,2 RK,Palm Meadows,4043.36,3,0,192.94
Carpet Area,Ready To Move,Chennai,4 BHK,Dream Homes,2623.56,4,3,430.67
Plot Area,Ready To Move,Kolkata,2 BHK,Dream Homes,642.32,3,1,328.79
Built-up Area,Under Construction,Bangalore,2 RK,Green Heights,1525.4,4,3,336.15
Carpet Area,Under Construction,Chennai,1 RK,Skyline View,4742.75,1,2,370.75
Carpet Area,Immediate Possession,Bangalore,2 RK,Sunrise Residency,2184.51,4,0,318.99
Super built-up Area,Ready To Move,Delhi,2 RK,Oceanic Towers,3486.14,1,0,10.21
Super built-up Area,Under Construction,Chennai,2 RK,Dream Homes,2620.82,3,0,251.1
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Sunrise Residency,1352.41,4,3,285.33
Carpet Area,Under Construction,Chennai,4 BHK,Sunrise Residency,4261.74,2,0,107.97
Built-up Area,Immediate Possession,Mumbai,1 BHK,Sunrise Residency,3801.58,3,2,245.62
Super built-up Area,Under Construction,Bangalore,1 RK,Green Heights,4755.21,4,2,386.18
Built-up Area,Ready To Move,Hyderabad,1 BHK,Green Heights,959.1,4,0,396.63
Built-up Area,Ready To Move,Hyderabad,4 BHK,Dream Homes,3345.11,1,0,260.99
Super built-up Area,Ready To Move,Pune,1 BHK,Skyline View,4291.35,2,3,11.29
Plot Area,Ready To Move,Bangalore,1 BHK,Luxury Enclave,1795.1,3,0,403.87
Super built-up Area,Ready To Move,Bangalore,1 BHK,Green Heights,3480.42,2,3,18.26
Carpet Area,Ready To Move,Delhi,2 RK,Luxury Enclave,4911.29,2,3,422.88
Plot Area,Under Construction,Hyderabad,4 BHK,Luxury Enclave,4104.63,4,1,139.2
Plot Area,Under Construction,Pune,2 BHK,Skyline View,4136.48,2,1,272.75
Super built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,3237.97,4,2,14.62
Built-up Area,Ready To Move,Bangalore,2 BHK,Dream Homes,2210.19,2,0,56.42
Super built-up Area,Under Construction,Bangalore,1 BHK,Green Heights,1311.17,4,3,435.07
Built-up Area,Ready To Move,Hyderabad,2 RK,Luxury Enclave,2506.95,2,3,475.69
Carpet Area,Ready To Move,Mumbai,1 RK,Green Heights,2732.11,4,1,41.42
Carpet Area,Immediate Possession,Delhi,1 RK,Palm Meadows,3982.69,3,0,277.94
Carpet Area,Under Construction,Kolkata,3 BHK,Oceanic Towers,2476.04,4,0,352.21
Plot Area,Ready To Move,Hyderabad,1 RK,Dream Homes,2286.03,1,1,188.28
Plot Area,Ready To Move,Pune,2 RK,Green Heights,4505.56,1,3,440.26
Plot Area,Under Construction,Hyderabad,3 BHK,Skyline View,2721.72,1,0,99.07
Carpet Area,Under Construction,Mumbai,3 BHK,Oceanic Towers,738.02,4,3,423.59
Plot Area,Under Construction,Pune,2 RK,Luxury Enclave,4847.42,3,0,426.38
Super built-up Area,Ready To Move,Hyderabad,2 RK,Palm Meadows,4222.79,3,3,85.27
Built-up Area,Ready To Move,Chennai,1 BHK,Palm Meadows,4863.44,2,3,66.98
Super built-up Area,Under Construction,Hyderabad,2 RK,Sunrise Residency,4400.95,4,3,131.69
Super built-up Area,Under Construction,Bangalore,4 BHK,Green Heights,4489.49,2,0,372.97
Super built-up Area,Under Construction,Pune,2 BHK,Palm Meadows,1201.21,4,2,391.16
Carpet Area,Ready To Move,Mumbai,1 BHK,Oceanic Towers,1547.84,3,1,90.73
Super built-up Area,Ready To Move,Delhi,1 BHK,Oceanic Towers,978.52,1,3,119.61
Built-up Area,Under Construction,Bangalore,1 RK,Palm Meadows,1243.0,1,1,159.69
Built-up Area,Ready To Move,Bangalore,4 BHK,Skyline View,1544.3,2,3,166.25
Super built-up Area,Immediate Possession,Pune,1 BHK,Dream Homes,4823.74,1,1,416.26
Plot Area,Under Construction,Pune,1 RK,Green Heights,3653.13,4,3,281.86
Built-up Area,Ready To Move,Bangalore,1 RK,Skyline View,4206.86,2,1,27.03
Built-up Area,Under Construction,Delhi,1 RK,Palm Meadows,1620.51,3,1,42.46
Built-up Area,Immediate Possession,Delhi,1 RK,Oceanic Towers,4888.36,1,0,169.14
Carpet Area,Ready To Move,Delhi,3 BHK,Dream Homes,3973.98,2,1,349.06
Plot Area,Immediate Possession,Pune,4 BHK,Palm Meadows,4183.69,3,0,351.8
Carpet Area,Ready To Move,Mumbai,2 BHK,Green Heights,1647.13,4,0,15.6
Plot Area,Ready To Move,Chennai,3 BHK,Palm Meadows,2593.06,1,1,428.19
Plot Area,Under Construction,Kolkata,3 BHK,Sunrise Residency,381.26,3,2,325.1
Super built-up Area,Ready To Move,Pune,4 BHK,Luxury Enclave,995.65,2,0,413.56
Plot Area,Immediate Possession,Pune,3 BHK,Luxury Enclave,3495.8,1,0,108.86
Carpet Area,Ready To Move,Pune,3 BHK,Luxury Enclave,3868.37,4,1,19.27
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Luxury Enclave,3359.35,1,0,310.45
Built-up Area,Ready To Move,Bangalore,1 RK,Palm Meadows,3790.86,1,0,305.18
Super built-up Area,Under Construction,Delhi,1 BHK,Palm Meadows,4541.86,1,1,370.44
Carpet Area,Immediate Possession,Chennai,3 BHK,Dream Homes,2442.88,4,1,101.18
Built-up Area,Ready To Move,Bangalore,4 BHK,Palm Meadows,1757.74,3,1,493.5
Super built-up Area,Under Construction,Mumbai,2 RK,Sunrise Residency,3704.83,4,0,397.83
Plot Area,Immediate Possession,Pune,4 BHK,Dream Homes,4744.37,2,0,454.19
Carpet Area,Immediate Possession,Hyderabad,2 RK,Luxury Enclave,4909.89,4,1,234.9
Super built-up Area,Immediate Possession,Chennai,4 BHK,Sunrise Residency,3052.13,4,1,282.28
Carpet Area,Ready To Move,Hyderabad,2 RK,Skyline View,2899.07,4,1,199.83
Super built-up Area,Ready To Move,Chennai,2 RK,Green Heights,3186.26,3,3,207.59
Carpet Area,Ready To Move,Hyderabad,3 BHK,Palm Meadows,3226.68,1,1,172.19
Plot Area,Immediate Possession,Bangalore,4 BHK,Green Heights,4009.26,1,2,430.74
Plot Area,Ready To Move,Mumbai,2 RK,Luxury Enclave,4901.93,1,2,199.23
Built-up Area,Immediate Possession,Mumbai,3 BHK,Oceanic Towers,1260.56,4,3,462.89
Built-up Area,Immediate Possession,Hyderabad,2 BHK,Palm Meadows,4644.49,3,1,125.83
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Sunrise Residency,864.33,3,3,135.78
Built-up Area,Ready To Move,Chennai,1 BHK,Palm Meadows,3995.87,4,1,227.15
Built-up Area,Immediate Possession,Delhi,3 BHK,Palm Meadows,1726.03,4,2,463.12
Super built-up Area,Under Construction,Pune,4 BHK,Oceanic Towers,4140.31,3,0,207.13
Built-up Area,Under Construction,Pune,2 BHK,Green Heights,2593.81,1,2,36.1
Built-up Area,Immediate Possession,Chennai,1 RK,Dream Homes,575.98,4,3,155.67
Carpet Area,Ready To Move,Delhi,1 BHK,Palm Meadows,647.61,1,0,195.46
Plot Area,Under Construction,Delhi,4 BHK,Palm Meadows,601.26,3,0,46.87
Carpet Area,Immediate Possession,Ahmedabad,3 BHK,Green Heights,1746.17,2,1,11.06
Built-up Area,Under Construction,Delhi,1 BHK,Sunrise Residency,4051.65,4,1,32.51
Carpet Area,Immediate Possession,Hyderabad,3 BHK,Oceanic Towers,2486.26,4,2,42.86
Plot Area,Immediate Possession,Mumbai,2 RK,Green Heights,792.52,3,2,63.76
Super built-up Area,Ready To Move,Hyderabad,1 RK,Luxury Enclave,400.35,1,0,67.58
Plot Area,Under Construction,Delhi,2 RK,Oceanic Towers,2091.52,4,1,340.44
Carpet Area,Ready To Move,Bangalore,2 BHK,Skyline View,3021.82,2,0,188.78
Carpet Area,Immediate Possession,Hyderabad,1 RK,Luxury Enclave,506.57,1,0,287.94
Super built-up Area,Ready To Move,Delhi,1 BHK,Sunrise Residency,3490.07,3,0,496.27
Built-up Area,Under Construction,Pune,3 BHK,Palm Meadows,1059.53,4,1,190.95
Built-up Area,Under Construction,Pune,1 BHK,Oceanic Towers,4336.55,1,3,129.79
Plot Area,Under Construction,Hyderabad,3 BHK,Dream Homes,4055.95,4,3,435.53
Built-up Area,Under Construction,Delhi,1 BHK,Luxury Enclave,3441.95,4,2,290.71
Built-up Area,Ready To Move,Bangalore,1 BHK,Dream Homes,2085.6,1,3,366.51
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Palm Meadows,4403.52,1,1,264.32
Carpet Area,Under Construction,Hyderabad,1 RK,Dream Homes,764.43,4,2,79.5
Carpet Area,Under Construction,Delhi,2 BHK,Oceanic Towers,2001.08,4,2,231.61
Carpet Area,Under Construction,Ahmedabad,2 RK,Sunrise Residency,2159.13,3,0,83.35
Plot Area,Ready To Move,Mumbai,2 RK,Sunrise Residency,3454.62,2,0,390.5
Built-up Area,Ready To Move,Bangalore,3 BHK,Dream Homes,2069.97,2,3,168.61
Carpet Area,Ready To Move,Hyderabad,4 BHK,Oceanic Towers,3803.19,2,0,316.01
Built-up Area,Ready To Move,Bangalore,4 BHK,Palm Meadows,3989.16,1,3,236.05
Built-up Area,Under Construction,Pune,4 BHK,Green Heights,1175.2,3,0,290.19
Super built-up Area,Under Construction,Kolkata,3 BHK,Palm Meadows,4295.62,3,1,162.53
Built-up Area,Ready To Move,Kolkata,1 RK,Sunrise Residency,4664.42,4,2,498.14
Plot Area,Under Construction,Ahmedabad,1 BHK,Skyline View,385.54,1,1,61.38
Plot Area,Ready To Move,Hyderabad,4 BHK,Sunrise Residency,3882.46,4,1,268.88
Carpet Area,Ready To Move,Pune,1 RK,Oceanic Towers,2008.28,1,1,11.0
Carpet Area,Under Construction,Chennai,1 BHK,Green Heights,2368.26,2,0,182.69
Plot Area,Immediate Possession,Bangalore,1 BHK,Palm Meadows,4261.78,3,3,133.02
Super built-up Area,Under Construction,Chennai,1 RK,Oceanic Towers,2955.63,4,0,129.11
Plot Area,Immediate Possession,Mumbai,4 BHK,Palm Meadows,3877.04,1,3,184.67
Super built-up Area,Immediate Possession,Bangalore,1 BHK,Sunrise Residency,2271.93,3,3,23.95
Plot Area,Ready To Move,Bangalore,2 RK,Luxury Enclave,1414.71,2,3,37.95
Super built-up Area,Ready To Move,Delhi,3 BHK,Green Heights,2997.99,1,2,440.54
Super built-up Area,Ready To Move,Bangalore,1 RK,Dream Homes,3499.6,2,2,407.71
Carpet Area,Under Construction,Bangalore,2 RK,Dream Homes,477.76,3,0,123.49
Super built-up Area,Ready To Move,Delhi,4 BHK,Dream Homes,4881.59,4,2,262.87
Plot Area,Immediate Possession,Ahmedabad,2 RK,Sunrise Residency,3111.29,3,2,29.65
Carpet Area,Immediate Possession,Hyderabad,3 BHK,Palm Meadows,1231.35,1,2,328.43
Super built-up Area,Under Construction,Kolkata,1 RK,Green Heights,4150.78,1,3,355.84
Carpet Area,Under Construction,Ahmedabad,3 BHK,Luxury Enclave,3134.29,3,2,143.27
Super built-up Area,Immediate Possession,Pune,1 BHK,Green Heights,593.08,3,0,268.96
Super built-up Area,Under Construction,Ahmedabad,4 BHK,Green Heights,2137.85,2,2,105.2
Built-up Area,Immediate Possession,Kolkata,4 BHK,Skyline View,705.3,1,2,417.64
Super built-up Area,Immediate Possession,Bangalore,3 BHK,Dream Homes,4869.91,2,3,219.67
Super built-up Area,Ready To Move,Mumbai,4 BHK,Palm Meadows,2805.34,1,1,222.34
Built-up Area,Ready To Move,Hyderabad,2 BHK,Dream Homes,1885.83,2,1,228.34
Super built-up Area,Ready To Move,Delhi,1 RK,Skyline View,3313.24,3,3,145.46
Built-up Area,Under Construction,Kolkata,2 RK,Oceanic Towers,1131.88,4,3,72.73
Plot Area,Ready To Move,Chennai,2 RK,Sunrise Residency,4538.46,4,0,460.08
Plot Area,Ready To Move,Bangalore,2 RK,Oceanic Towers,3589.41,1,0,293.99
Carpet Area,Under Construction,Mumbai,1 RK,Palm Meadows,3041.82,4,2,103.69
Built-up Area,Immediate Possession,Ahmedabad,2 BHK,Oceanic Towers,4768.24,1,1,309.59
Carpet Area,Under Construction,Hyderabad,3 BHK,Sunrise Residency,3016.32,2,0,45.62
Carpet Area,Ready To Move,Hyderabad,2 RK,Skyline View,3978.41,2,2,407.67
Carpet Area,Under Construction,Bangalore,2 BHK,Luxury Enclave,3177.0,2,3,220.35
Built-up Area,Immediate Possession,Bangalore,2 BHK,Green Heights,1027.12,2,3,203.7
Built-up Area,Under Construction,Kolkata,3 BHK,Sunrise Residency,738.89,3,3,352.89
Super built-up Area,Immediate Possession,Bangalore,4 BHK,Green Heights,4539.84,1,1,424.48
Super built-up Area,Ready To Move,Chennai,3 BHK,Luxury Enclave,1238.31,3,0,290.79
Super built-up Area,Immediate Possession,Pune,2 BHK,Luxury Enclave,3466.0,3,1,250.39
Carpet Area,Under Construction,Pune,3 BHK,Luxury Enclave,1697.88,1,3,266.06
Plot Area,Immediate Possession,Pune,1 RK,Luxury Enclave,4543.21,2,0,348.79
Plot Area,Ready To Move,Ahmedabad,2 BHK,Palm Meadows,1077.01,3,3,391.91
Super built-up Area,Immediate Possession,Chennai,4 BHK,Oceanic Towers,1073.39,4,2,194.56
Built-up Area,Immediate Possession,Pune,1 RK,Oceanic Towers,1992.96,1,2,333.09
Built-up Area,Ready To Move,Ahmedabad,4 BHK,Palm Meadows,2505.5,1,1,406.5
Super built-up Area,Immediate Possession,Hyderabad,2 BHK,Luxury Enclave,984.18,3,2,182.16
Plot Area,Under Construction,Chennai,1 RK,Luxury Enclave,2712.52,3,1,38.28
Super built-up Area,Ready To Move,Hyderabad,1 RK,Dream Homes,2263.07,2,3,203.81
Plot Area,Immediate Possession,Kolkata,2 BHK,Green Heights,371.68,3,1,122.61
Super built-up Area,Ready To Move,Chennai,4 BHK,Oceanic Towers,1208.66,4,0,229.89
Built-up Area,Under Construction,Mumbai,4 BHK,Dream Homes,2570.43,3,3,305.06
Super built-up Area,Immediate Possession,Pune,2 RK,Oceanic Towers,2496.25,1,3,469.78
Built-up Area,Ready To Move,Bangalore,1 RK,Palm Meadows,1655.21,2,3,86.78
Carpet Area,Ready To Move,Bangalore,1 RK,Green Heights,3322.26,3,3,79.81
Carpet Area,Immediate Possession,Kolkata,1 BHK,Dream Homes,2816.76,4,1,232.6
Plot Area,Ready To Move,Ahmedabad,2 BHK,Palm Meadows,4316.12,2,0,223.98
Built-up Area,Under Construction,Kolkata,2 RK,Dream Homes,3966.11,3,1,439.12
Super built-up Area,Immediate Possession,Kolkata,4 BHK,Dream Homes,1917.72,4,0,219.93
Carpet Area,Under Construction,Mumbai,2 RK,Green Heights,3295.11,4,0,376.02
Built-up Area,Immediate Possession,Delhi,2 RK,Palm Meadows,2280.59,1,1,418.62
Plot Area,Immediate Possession,Bangalore,4 BHK,Dream Homes,2786.3,3,2,369.82
Carpet Area,Ready To Move,Delhi,2 RK,Skyline View,3531.85,1,2,54.0
Plot Area,Ready To Move,Chennai,3 BHK,Dream Homes,3987.92,4,2,490.33
Super built-up Area,Ready To Move,Chennai,4 BHK,Palm Meadows,4974.07,4,3,26.33
Built-up Area,Ready To Move,Kolkata,3 BHK,Luxury Enclave,3295.94,2,0,181.94
Carpet Area,Under Construction,Bangalore,1 BHK,Palm Meadows,1836.59,4,1,136.98
Built-up Area,Ready To Move,Delhi,1 RK,Skyline View,858.38,1,1,352.19
Plot Area,Immediate Possession,Chennai,1 RK,Green Heights,2462.01,4,1,445.48
Super built-up Area,Ready To Move,Bangalore,2 BHK,Luxury Enclave,473.08,1,2,436.98
Carpet Area,Ready To Move,Bangalore,2 BHK,Sunrise Residency,3576.96,1,0,406.51
Plot Area,Under Construction,Hyderabad,2 BHK,Palm Meadows,2703.74,4,1,437.13
Super built-up Area,Ready To Move,Hyderabad,3 BHK,Dream Homes,2359.09,4,2,207.91
Built-up Area,Immediate Possession,Mumbai,2 BHK,Sunrise Residency,1313.66,2,0,412.17
Super built-up Area,Under Construction,Kolkata,1 BHK,Oceanic Towers,4832.56,1,1,106.45
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Green Heights,3306.45,3,0,148.05
Super built-up Area,Ready To Move,Delhi,3 BHK,Sunrise Residency,2544.68,4,2,206.04
Plot Area,Ready To Move,Bangalore,2 BHK,Green Heights,3854.3,1,2,96.79
Super built-up Area,Under Construction,Chennai,2 RK,Oceanic Towers,2500.12,1,1,405.71
Carpet Area,Immediate Possession,Chennai,4 BHK,Sunrise Residency,2752.06,2,2,481.21
